20220928,chinese
ControlRec,建議使用遊戲控制器遊玩
AnyKey,按任意鍵開始遊戲
Paused,主選單
Resume,回到遊戲
Restart,重玩本關
StartNew,開始新遊戲
NewGame,新遊戲
Options,選項
Map,地圖
Quit,離開
Overwrite,真的要開始新遊戲嗎？會丟失所有現存進度！
QuitSure,真的要離開？
Skip,區域移動
SkipSure,真的要移到另一區域嗎？會丟失本區域的進度！
Yes,是
No,否
Controls,控制
Video,視像
Audio,聲音
Credits,制作人員
Left,左
Right,右
Up,上
Down,下
Jump,跳
Action,行動
ColourWheel,色輪
DefaultControls,重設成預設值
ChooseStick,選擇類比式搖桿
LeftStick,
RightStick,
LeftButton,
RightButton,
MiddleButton,
DPad,
Buttons,按鍵
LeftStickLeft,
LeftStickRight,
LeftStickUp,
LeftStickDown,
RightStickLeft,
RightStickRight,
RightStickUp,
RightStickDown,
DPadLeft,
DPadRight,
DPadUp,
DPadDown,
Action1,
Action2,
Action3,
Action4,
BindAnyKey,< 按任意鍵 >
BindAnyButton,< 按任意鍵 >
NoBinding,無
Colourblind,色盲
Vsync,垂直同步
Resolution,解像度
Fullscreen,全屏幕
Subtitles,字幕
Apply,應用
Music,音樂
Sound,聲效
ChangeProfile,賬號切換
CreditDesign,
CreditBusiness,
CreditAudio,
CreditDevelopment,
CreditArt,
CreditNarrative,
CreditThanks,
CreditKujuBizDevDirector,
CreditKujuCoChair,
CreditKujuAdvisoryBoard,
CreditCurveProductionGroup,
CreditCurveLeadProgrammer,
CreditCurveAdditionalProgramming,
CreditCurveUI,
CreditCurveLevelDesign,
CreditCurveQaManager,
CreditCurveQaLead,
CreditCurveQaGroup,
CreditCurveManagingDirector,
CreditCurveDevelopmentDirector,
CreditCurvePublishingDirector,
CreditCurveSeniorMarketingManagers,
CreditCurvePrCommunityManager,
CreditCurveJuniorPrCommunity,
CreditCurveFinancialController,
CreditCurveFinanceDirector,
CreditCurveChairman,
CreditCurveCeo,
CreditCurveGroupFinancialDirector,
CreditCurveLocalisation,
CreditCurveMicrosoftSpecialThanks,
CreditCurveNintendoSpecialThanks,
CreditCurveSonySpecialThanks,
CreditCurveUnity,
CreditLicensed,
CreditCurveProductionManager,
CreditCurveMarketingManager,
CreditCurveMarketingAssistant,
CreditCurveBusinessDevDirevtor,
CreditCurveOfficeCommander,
CreditCurveTechnicalDirector,
CreditCurveSeniorProducer,
CreditCurvePublicRelations,
TutorialHold,長按此鍵
TutorialToPull,拉
GoBack,返回？
LighthouseKeeperIntroA0,漁夫們瞥見了些甚麼……
LighthouseKeeperIntroA1,……怪東西……
LighthouseKeeperIntroA2,就在燈塔再過一點。
LighthouseKeeperIntroB0,你的媽媽失蹤了？
LighthouseKeeperIntroB1,我相信她會回來的。
LighthouseKeeperIntroB2,可惜我沒有看見她。
LighthouseKeeperIntroC0,真是糟透的一天！
LighthouseKeeperIntroC1,燈塔壞了！
LighthouseKeeperIntroC2,船都靠不了岸……
LighthouseKeeperIntroC3,……所以要修好它。
LighthouseKeeperIntroC4,真麻煩！
LighthouseKeeperAquaA0,嘩，蒼天突然放晴……
LighthouseKeeperAquaA1,……真是美麗的一天。
LighthouseKeeperAquaB0,現在我只需要修好……
LighthouseKeeperAquaB1,……這座爛燈塔……
LighthouseKeeperAquaB2,漁夫們就能找到方向！
LighthouseKeeperAquaC0,以前只需要去地庫啓動發電機……
LighthouseKeeperAquaC1,……但現在入口被封死了。
LighthouseKeeperAquaC2,有另一個秘密入口，不過……
LighthouseKeeperAquaC3,……距離很遠。
LighthouseKeeperLighthouseOn0,燈亮了！
LighthouseKeeperLighthouseOn1,漁船終於能進港了。
LighthouseKeeperLighthouseOnOutsideA0,是你嗎，色調？
LighthouseKeeperLighthouseOnOutsideA1,是你打開開關的？
LighthouseKeeperLighthouseOnOutsideA2,原來如此。謝謝！
LighthouseKeeperLighthouseOnOutsideA3,漁夫們回來了……
